ID,Track,Program,Project Name,Description,Sector,Location,Lead Organisation,Financial Instrument,Funding Source (raw),Partners,Capital (AUD m),Start Year,End Year,Phase,Status,Funding Outcome,Hazard Group,Duplicate Status,Duplicate Of,Notes
R012,RONAdapt II Pipeline (Future),Sustainable Milkfish Aquaculture Development and Capacity Enhancement Programme,Cooperative strengthening & association setup,,Fisheries & Aquaculture,TBC,TBC,TBC,"RON Gov, Donors","RON Gov, Donors",0.2,2027,2035,Phase 2 (Medium-term),Proposed,Unspecified,Food insecurity,,,
R013,RONAdapt II Pipeline (Future),Sustainable Milkfish Aquaculture Development and Capacity Enhancement Programme,National aquaculture complex,,Fisheries & Aquaculture,TBC,TBC,TBC,"GCF, DFAT, MFAT, JICA","GCF, DFAT, MFAT, JICA",4.0,2035,2040,Phase 3 (Long-term),Proposed,Unspecified,Food insecurity,,,
R014,RONAdapt II Pipeline (Future),Sustainable Milkfish Aquaculture Development and Capacity Enhancement Programme,Processing & export facility,,Fisheries & Aquaculture,TBC,TBC,TBC,"ADB, Private Sector","ADB, Private Sector",2.0,2035,2040,Phase 3 (Long-term),Proposed,Unspecified,Food insecurity,,,
R015,RONAdapt II Pipeline (Future),Sustainable Milkfish Aquaculture Development and Capacity Enhancement Programme,Feed mill development,,Fisheries & Aquaculture,TBC,TBC,TBC,"FAO, SPC, IFAD","FAO, SPC, IFAD",1.5,2035,2040,Phase 3 (Long-term),Proposed,Unspecified,Food insecurity,,,
R016,RONAdapt II Pipeline (Future),Sustainable Milkfish Aquaculture Development and Capacity Enhancement Programme,Cold storage & distribution hub,,Fisheries & Aquaculture,TBC,TBC,TBC,"PRC, DFAT, MFAT","PRC, DFAT, MFAT",1.5,2035,2040,Phase 3 (Long-term),Proposed,Unspecified,Food insecurity,,,
R017,RONAdapt II Pipeline (Future),Sustainable Milkfish Aquaculture Development and Capacity Enhancement Programme,Institutionalisation & capacity strengthening,,Fisheries & Aquaculture,TBC,TBC,TBC,"RON Gov, Donors","RON Gov, Donors",1.0,2035,2040,Phase 3 (Long-term),Proposed,Unspecified,Food insecurity,,,
R018,RONAdapt II Pipeline (Future),Multi-Hazard Early Warning & Emergency Operations,National Warning Establishment (CAP + channels),,Disaster Risk Reduction,TBC,TBC,TBC,"PRIF, ADB/WB TA, SPREP, SPC, WMO/UNDRR/CREWS","PRIF, ADB/WB TA, SPREP, SPC, WMO/UNDRR/CREWS",0.82,2025,2030,Phase 1 (Near-term),Proposed,Unspecified,Multi-hazard preparedness,,,
R019,RONAdapt II Pipeline (Future),Multi-Hazard Early Warning & Emergency Operations,Emergency Operations Centre,,Disaster Risk Reduction,TBC,TBC,TBC,"PRIF, ADB/WB TA, SPREP, SPC, WMO/UNDRR/CREWS","PRIF, ADB/WB TA, SPREP, SPC, WMO/UNDRR/CREWS",0.56,2025,2030,Phase 1 (Near-term),Proposed,Unspecified,Multi-hazard preparedness,,,
R020,RONAdapt II Pipeline (Future),Multi-Hazard Early Warning & Emergency Operations,Risk-to-Action Implementation,,Disaster Risk Reduction,TBC,TBC,TBC,"PRIF, ADB/WB TA, SPREP, SPC, WMO/UNDRR/CREWS","PRIF, ADB/WB TA, SPREP, SPC, WMO/UNDRR/CREWS",0.18,2025,2030,Phase 1 (Near-term),Proposed,Unspecified,Multi-hazard preparedness,,,
R021,RONAdapt II Pipeline (Future),Multi-Hazard Early Warning & Emergency Operations,Community Readiness,,Disaster Risk Reduction,TBC,TBC,TBC,"PRIF, ADB/WB TA, SPREP, SPC, WMO/UNDRR/CREWS","PRIF, ADB/WB TA, SPREP, SPC, WMO/UNDRR/CREWS",0.12,2025,2030,Phase 1 (Near-term),Proposed,Unspecified,Multi-hazard preparedness,,,
R022,RONAdapt II Pipeline (Future),Multi-Hazard Early Warning & Emergency Operations,PMU & MEL,,Disaster Risk Reduction,TBC,TBC,TBC,"PRIF, ADB/WB TA, SPREP, SPC, WMO/UNDRR/CREWS","PRIF, ADB/WB TA, SPREP, SPC, WMO/UNDRR/CREWS",0.15,2025,2030,Phase 1 (Near-term),Proposed,Unspecified,Multi-hazard preparedness,,,
R023,RONAdapt II Pipeline (Future),Multi-Hazard Early Warning & Emergency Operations,Contingency (12%),,Disaster Risk Reduction,TBC,TBC,TBC,Mixed donors & GoN,Mixed donors & GoN,0.2196,2025,2030,Phase 1 (Near-term),Proposed,Unspecified,Multi-hazard preparedness,,,
R024,RONAdapt II Pipeline (Future),Multi-Hazard Early Warning & Emergency Operations,Expansion of CAP gateway with multi-hazard feeds,,Disaster Risk Reduction,TBC,TBC,TBC,"WMO, UNDRR, CREWS","WMO, UNDRR, CREWS",0.5,2027,2035,Phase 2 (Medium-term),Proposed,Unspecified,Multi-hazard preparedness,,,
R025,RONAdapt II Pipeline (Future),Multi-Hazard Early Warning & Emergency Operations,Additional outdoor sirens (10–12 units),,Disaster Risk Reduction,TBC,TBC,TBC,"DFAT, MFAT, EU, JICA","DFAT, MFAT, EU, JICA",0.4,2027,2035,Phase 2 (Medium-term),Proposed,Unspecified,Multi-hazard preparedness,,,
R026,RONAdapt II Pipeline (Future),Multi-Hazard Early Warning & Emergency Operations,National Cell Broadcast rollout,,Disaster Risk Reduction,TBC,TBC,TBC,"ITU, ADB, World Bank","ITU, ADB, World Bank",1.5,2027,2035,Phase 2 (Medium-term),Proposed,Unspecified,Multi-hazard preparedness,,,
R027,RONAdapt II Pipeline (Future),Multi-Hazard Early Warning & Emergency Operations,Dedicated Emergency Operations Centre facility,,Disaster Risk Reduction,TBC,TBC,TBC,"ADB, World Bank, GCF","ADB, World Bank, GCF",2.0,2027,2035,Phase 2 (Medium-term),Proposed,Unspecified,Multi-hazard preparedness,,,
R028,RONAdapt II Pipeline (Future),Multi-Hazard Early Warning & Emergency Operations,National public alerting app + ICT integration,,Disaster Risk Reduction,TBC,TBC,TBC,"SPC, UNDP, ITU","SPC, UNDP, ITU",0.3,2027,2035,Phase 2 (Medium-term),Proposed,Unspecified,Multi-hazard preparedness,,,
R029,RONAdapt II Pipeline (Future),Multi-Hazard Early Warning & Emergency Operations,Institutionalised ICS training & 2 national drills,,Disaster Risk Reduction,TBC,TBC,TBC,"UNDRR, UNDP, DFAT","UNDRR, UNDP, DFAT",0.3,2027,2035,Phase 2 (Medium-term),Proposed,Unspecified,Multi-hazard preparedness,,,
R030,RONAdapt II Pipeline (Future),Multi-Hazard Early Warning & Emergency Operations,Phase 2 contingency (12%),,Disaster Risk Reduction,TBC,TBC,TBC,"RON Gov, Donors","RON Gov, Donors",0.6,2027,2035,Phase 2 (Medium-term),Proposed,Unspecified,Multi-hazard preparedness,,,
R031,RONAdapt II Pipeline (Future),Multi-Hazard Early Warning & Emergency Operations,Resilient communications backbone,,Disaster Risk Reduction,TBC,TBC,TBC,"ADB, World Bank, EIB","ADB, World Bank, EIB",3.0,2035,2040,Phase 3 (Long-term),Proposed,Unspecified,Multi-hazard preparedness,,,
R032,RONAdapt II Pipeline (Future),Multi-Hazard Early Warning & Emergency Operations,National Emergency & Climate Resilience Centre,,Disaster Risk Reduction,TBC,TBC,TBC,"GCF, ADB, WB, DFAT, MFAT","GCF, ADB, WB, DFAT, MFAT",7.0,2035,2040,Phase 3 (Long-term),Proposed,Unspecified,Multi-hazard preparedness,,,
R033,RONAdapt II Pipeline (Future),Multi-Hazard Early Warning & Emergency Operations,Regional CAP interoperability & Cell Broadcast integration,,Disaster Risk Reduction,TBC,TBC,TBC,"ITU, WMO, CREWS","ITU, WMO, CREWS",2.0,2035,2040,Phase 3 (Long-term),Proposed,Unspecified,Multi-hazard preparedness,,,
R034,RONAdapt II Pipeline (Future),Multi-Hazard Early Warning & Emergency Operations,Advanced forecast-based hazard detection,,Disaster Risk Reduction,TBC,TBC,TBC,"UNDRR, CREWS, SPC","UNDRR, CREWS, SPC",1.0,2035,2040,Phase 3 (Long-term),Proposed,Unspecified,Multi-hazard preparedness,,,
R035,RONAdapt II Pipeline (Future),Multi-Hazard Early Warning & Emergency Operations,"Governance, recurrent budget, and institutional strengthening",,Disaster Risk Reduction,TBC,TBC,TBC,"UNDP, RON Gov, Donors","UNDP, RON Gov, Donors",1.5,2035,2040,Phase 3 (Long-term),Proposed,Unspecified,Multi-hazard preparedness,,,
R036,RONAdapt II Pipeline (Future),Multi-Hazard Early Warning & Emergency Operations,Phase 3 contingency (10%),,Disaster Risk Reduction,TBC,TBC,TBC,"RON Gov, Donors","RON Gov, Donors",1.4,2035,2040,Phase 3 (Long-term),Proposed,Unspecified,Multi-hazard preparedness,,,
R037,RONAdapt II Pipeline (Future),Water Storage for Drought Preparedness,"Tank, logistics, civils, pipework, basic RTU",,Water & Sanitation,TBC,TBC,TBC,PRIF bilateral grant,PRIF bilateral grant,1.1808,2025,2030,Phase 1 (Near-term),Proposed,Unspecified,Drought & water security,,,
R038,RONAdapt II Pipeline (Future),Water Storage for Drought Preparedness,"Activity design, peer review, EIA/ESMP support, supervision",,Water & Sanitation,TBC,TBC,TBC,ADB/WB TA grant via NSUDP PMU,ADB/WB TA grant via NSUDP PMU,0.2952,2025,2030,Phase 1 (Near-term),Proposed,Unspecified,Drought & water security,,,
R039,RONAdapt II Pipeline (Future),Water Storage for Drought Preparedness,"SCADA central integration, pump-station VFDs, consolidated freight",,Water & Sanitation,TBC,TBC,TBC,NSUDP co-financing/variation,NSUDP co-financing/variation,0.2952,2025,2030,Phase 1 (Near-term),Proposed,Unspecified,Drought & water security,,,
R040,RONAdapt II Pipeline (Future),Water Storage for Drought Preparedness,"Land, permits, staff time, minor O&M",,Water & Sanitation,TBC,TBC,TBC,Government of Nauru,Government of Nauru,0.0984,2025,2030,Phase 1 (Near-term),Proposed,Unspecified,Drought & water security,,,
R041,RONAdapt II Pipeline (Future),Water Storage for Drought Preparedness,Price risk / schedule float,,Water & Sanitation,TBC,TBC,TBC,Unallocated contingency buffer,Unallocated contingency buffer,0.0984,2025,2030,Phase 1 (Near-term),Proposed,Unspecified,Drought & water security,,,
R042,RONAdapt II Pipeline (Future),Water Storage for Drought Preparedness,Construction of 1–2 additional 3 ML tanks,,Water & Sanitation,TBC,TBC,TBC,"GCF, Adaptation Fund, PRIF","GCF, Adaptation Fund, PRIF",2.4,2027,2035,Phase 2 (Medium-term),Proposed,Unspecified,Drought & water security,,,
R043,RONAdapt II Pipeline (Future),Water Storage for Drought Preparedness,Expanded SCADA integration across all tanks & pump stations,,Water & Sanitation,TBC,TBC,TBC,"ADB, World Bank, SPC","ADB, World Bank, SPC",0.6,2027,2035,Phase 2 (Medium-term),Proposed,Unspecified,Drought & water security,,,
R044,RONAdapt II Pipeline (Future),Water Storage for Drought Preparedness,Pump station redundancy upgrades,,Water & Sanitation,TBC,TBC,TBC,"DFAT/MFAT, NSUDP","DFAT/MFAT, NSUDP",0.45,2027,2035,Phase 2 (Medium-term),Proposed,Unspecified,Drought & water security,,,
R045,RONAdapt II Pipeline (Future),Water Storage for Drought Preparedness,Rainwater harvesting integration into tanks,,Water & Sanitation,TBC,TBC,TBC,"UNICEF, SPC, EU","UNICEF, SPC, EU",0.35,2027,2035,Phase 2 (Medium-term),Proposed,Unspecified,Drought & water security,,,
R046,RONAdapt II Pipeline (Future),Water Storage for Drought Preparedness,District-level operator & warden training,,Water & Sanitation,TBC,TBC,TBC,"UNDP, WHO, SPC","UNDP, WHO, SPC",0.2,2027,2035,Phase 2 (Medium-term),Proposed,Unspecified,Drought & water security,,,
R047,RONAdapt II Pipeline (Future),Water Storage for Drought Preparedness,Phase 2 contingency (10%),,Water & Sanitation,TBC,TBC,TBC,Mixed donors & GoN,Mixed donors & GoN,0.4,2027,2035,Phase 2 (Medium-term),Proposed,Unspecified,Drought & water security,,,
R048,RONAdapt II Pipeline (Future),Water Storage for Drought Preparedness,National Water Storage & Resilience Hub,,Water & Sanitation,TBC,TBC,TBC,"GCF, ADB, World Bank","GCF, ADB, World Bank",6.0,2035,2040,Phase 3 (Long-term),Proposed,Unspecified,Drought & water security,,,
R049,RONAdapt II Pipeline (Future),Water Storage for Drought Preparedness,Demand forecasting system linked to early warning,,Water & Sanitation,TBC,TBC,TBC,"CREWS, UNDRR, SPC","CREWS, UNDRR, SPC",1.0,2035,2040,Phase 3 (Long-term),Proposed,Unspecified,Drought & water security,,,
R050,RONAdapt II Pipeline (Future),Water Storage for Drought Preparedness,Community/district storage tanks,,Water & Sanitation,TBC,TBC,TBC,"UNICEF, DFAT, EU","UNICEF, DFAT, EU",2.0,2035,2040,Phase 3 (Long-term),Proposed,Unspecified,Drought & water security,,,
R051,RONAdapt II Pipeline (Future),Water Storage for Drought Preparedness,Emergency water reserves for critical facilities,,Water & Sanitation,TBC,TBC,TBC,"WHO, UNICEF, Adaptation Fund","WHO, UNICEF, Adaptation Fund",1.5,2035,2040,Phase 3 (Long-term),Proposed,Unspecified,Drought & water security,,,
R052,RONAdapt II Pipeline (Future),Water Storage for Drought Preparedness,Institutionalisation of O&M,,Water & Sanitation,TBC,TBC,TBC,"Government of Nauru, UNDP","Government of Nauru, UNDP",1.0,2035,2040,Phase 3 (Long-term),Proposed,Unspecified,Drought & water security,,,
R053,RONAdapt II Pipeline (Future),Water Storage for Drought Preparedness,Phase 3 contingency (10%),,Water & Sanitation,TBC,TBC,TBC,"Multilateral, bilateral & GoN support","Multilateral, bilateral & GoN support",1.15,2035,2040,Phase 3 (Long-term),Proposed,Unspecified,Drought & water security,,,
R054,RONAdapt II Pipeline (Future),Renewable Energy Water Systems for Farms,2× BWRO sites (10 m³/d each),,Energy,TBC,TBC,TBC,"DFAT/MFAT, GCF Small Grants, FAO","DFAT/MFAT, GCF Small Grants, FAO",0.376,2025,2030,Phase 1 (Near-term),Proposed,Unspecified,Energy & fuel security,,,
R055,RONAdapt II Pipeline (Future),Renewable Energy Water Systems for Farms,1× SWRO site (10 m³/d),,Energy,TBC,TBC,TBC,"SPC-EU, UNDP","SPC-EU, UNDP",0.261,2025,2030,Phase 1 (Near-term),Proposed,Unspecified,Energy & fuel security,,,
R056,RONAdapt II Pipeline (Future),Renewable Energy Water Systems for Farms,Program Setup and Implementation,,Energy,TBC,TBC,TBC,"FAO, SPC, GIZ, SPREP","FAO, SPC, GIZ, SPREP",0.29,2025,2030,Phase 1 (Near-term),Proposed,Unspecified,Energy & fuel security,,,
R057,RONAdapt II Pipeline (Future),Renewable Energy Water Systems for Farms,Phase 1 contingency (10%),,Energy,TBC,TBC,TBC,"RON Government Co-finance, Donor overhead allowances","RON Government Co-finance, Donor overhead allowances",0.095,2025,2030,Phase 1 (Near-term),Proposed,Unspecified,Energy & fuel security,,,
R058,RONAdapt II Pipeline (Future),Renewable Energy Water Systems for Farms,Rehabilitation & upgrading of the 3 pilot farm systems,,Energy,TBC,TBC,TBC,"DFAT/MFAT, GCF, FAO","DFAT/MFAT, GCF, FAO",0.45,2027,2035,Phase 2 (Medium-term),Proposed,Unspecified,Energy & fuel security,,,
R059,RONAdapt II Pipeline (Future),Renewable Energy Water Systems for Farms,Expansion to 4th government-owned farm site,,Energy,TBC,TBC,TBC,"JICA, EU PRIF, SPC","JICA, EU PRIF, SPC",0.4,2027,2035,Phase 2 (Medium-term),Proposed,Unspecified,Energy & fuel security,,,
R060,RONAdapt II Pipeline (Future),Renewable Energy Water Systems for Farms,Centralised SCADA integration across farm systems,,Energy,TBC,TBC,TBC,"ADB, World Bank, ITU","ADB, World Bank, ITU",0.3,2027,2035,Phase 2 (Medium-term),Proposed,Unspecified,Energy & fuel security,,,
R061,RONAdapt II Pipeline (Future),Renewable Energy Water Systems for Farms,Farmer capacity building,,Energy,TBC,TBC,TBC,"FAO, SPC Land Resources, UNDP","FAO, SPC Land Resources, UNDP",0.1,2027,2035,Phase 2 (Medium-term),Proposed,Unspecified,Energy & fuel security,,,
R062,RONAdapt II Pipeline (Future),Renewable Energy Water Systems for Farms,Spare parts warehouse & logistics buffer,,Energy,TBC,TBC,TBC,"GIZ, SPREP, RON Gov","GIZ, SPREP, RON Gov",0.1,2027,2035,Phase 2 (Medium-term),Proposed,Unspecified,Energy & fuel security,,,
R063,RONAdapt II Pipeline (Future),Renewable Energy Water Systems for Farms,Phase 2 contingency (10%),,Energy,TBC,TBC,TBC,RON Government and mixed donors,RON Government and mixed donors,0.135,2027,2035,Phase 2 (Medium-term),Proposed,Unspecified,Energy & fuel security,,,
R064,RONAdapt II Pipeline (Future),Renewable Energy Water Systems for Farms,Farm Water & Energy Resilience Hub,,Energy,TBC,TBC,TBC,"GCF, ADB, World Bank","GCF, ADB, World Bank",2.5,2035,2040,Phase 3 (Long-term),Proposed,Unspecified,Energy & fuel security,,,
R065,RONAdapt II Pipeline (Future),Renewable Energy Water Systems for Farms,Long-term O&M institutionalisation,,Energy,TBC,TBC,TBC,"UNDP, Adaptation Fund, RON Gov","UNDP, Adaptation Fund, RON Gov",1.0,2035,2040,Phase 3 (Long-term),Proposed,Unspecified,Energy & fuel security,,,
R066,RONAdapt II Pipeline (Future),Renewable Energy Water Systems for Farms,Demand forecasting + drought-response modelling,,Energy,TBC,TBC,TBC,"CREWS, UNDRR, FAO","CREWS, UNDRR, FAO",0.5,2035,2040,Phase 3 (Long-term),Proposed,Unspecified,Energy & fuel security,,,
R067,RONAdapt II Pipeline (Future),Renewable Energy Water Systems for Farms,Emergency water reserves at farm hubs,,Energy,TBC,TBC,TBC,"EU, UNICEF, DFAT","EU, UNICEF, DFAT",0.8,2035,2040,Phase 3 (Long-term),Proposed,Unspecified,Energy & fuel security,,,
R068,RONAdapt II Pipeline (Future),Renewable Energy Water Systems for Farms,Inclusion programmes,,Energy,TBC,TBC,TBC,"SPC, FAO","SPC, FAO",0.2,2035,2040,Phase 3 (Long-term),Proposed,Unspecified,Energy & fuel security,,,
R069,RONAdapt II Pipeline (Future),Renewable Energy Water Systems for Farms,Phase 3 contingency (10%),,Energy,TBC,TBC,TBC,Mixed donors & GoN,Mixed donors & GoN,0.5,2035,2040,Phase 3 (Long-term),Proposed,Unspecified,Energy & fuel security,,,
R070,RONAdapt II Pipeline (Future),"Development and Implementation of an Integrated Coastal Management Plan, including Strategic Seawall Construction","Civil works, small equipment",,Coastal & Marine,TBC,TBC,TBC,DFAT/MFAT/EU/JICA,DFAT/MFAT/EU/JICA,0.7641,2025,2030,Phase 1 (Near-term),Proposed,Unspecified,Coastal erosion & sea-level rise,,,
R071,RONAdapt II Pipeline (Future),"Development and Implementation of an Integrated Coastal Management Plan, including Strategic Seawall Construction","Design, EIA support, supervision, PMU set-up",,Coastal & Marine,TBC,TBC,TBC,ADB TA grant,ADB TA grant,0.3396,2025,2030,Phase 1 (Near-term),Proposed,Unspecified,Coastal erosion & sea-level rise,,,
R072,RONAdapt II Pipeline (Future),"Development and Implementation of an Integrated Coastal Management Plan, including Strategic Seawall Construction","ICM policy/mapping, NBS, monitoring system",,Coastal & Marine,TBC,TBC,TBC,GCF Readiness/SAP,GCF Readiness/SAP,0.2547,2025,2030,Phase 1 (Near-term),Proposed,Unspecified,Coastal erosion & sea-level rise,,,
R073,RONAdapt II Pipeline (Future),"Development and Implementation of an Integrated Coastal Management Plan, including Strategic Seawall Construction","Comms/signage, training, O&M manuals",,Coastal & Marine,TBC,TBC,TBC,Another PRIF partner,Another PRIF partner,0.2547,2025,2030,Phase 1 (Near-term),Proposed,Unspecified,Coastal erosion & sea-level rise,,,
R074,RONAdapt II Pipeline (Future),"Development and Implementation of an Integrated Coastal Management Plan, including Strategic Seawall Construction","Staff time, site access, utilities, storage",,Coastal & Marine,TBC,TBC,TBC,Government co-finance,Government co-finance,0.0849,2025,2030,Phase 1 (Near-term),Proposed,Unspecified,Coastal erosion & sea-level rise,,,
R075,RONAdapt II Pipeline (Future),"Development and Implementation of an Integrated Coastal Management Plan, including Strategic Seawall Construction",Additional seawall stretches (400–600 m),,Coastal & Marine,TBC,TBC,TBC,"PRIF bilateral, ADB","PRIF bilateral, ADB",3.0,2027,2035,Phase 2 (Medium-term),Proposed,Unspecified,Coastal erosion & sea-level rise,,,
R076,RONAdapt II Pipeline (Future),"Development and Implementation of an Integrated Coastal Management Plan, including Strategic Seawall Construction",NBS buffer rehabilitation + nourishment,,Coastal & Marine,TBC,TBC,TBC,"SPC, GCF Adaptation, UNDP","SPC, GCF Adaptation, UNDP",0.8,2027,2035,Phase 2 (Medium-term),Proposed,Unspecified,Coastal erosion & sea-level rise,,,
R077,RONAdapt II Pipeline (Future),"Development and Implementation of an Integrated Coastal Management Plan, including Strategic Seawall Construction",Coastal hazard updates & monitoring expansion,,Coastal & Marine,TBC,TBC,TBC,"ADB, World Bank, CREWS","ADB, World Bank, CREWS",0.5,2027,2035,Phase 2 (Medium-term),Proposed,Unspecified,Coastal erosion & sea-level rise,,,
R078,RONAdapt II Pipeline (Future),"Development and Implementation of an Integrated Coastal Management Plan, including Strategic Seawall Construction",Capacity building & O&M systems,,Coastal & Marine,TBC,TBC,TBC,"UNDP, GIZ, SPC","UNDP, GIZ, SPC",0.4,2027,2035,Phase 2 (Medium-term),Proposed,Unspecified,Coastal erosion & sea-level rise,,,
R079,RONAdapt II Pipeline (Future),"Development and Implementation of an Integrated Coastal Management Plan, including Strategic Seawall Construction",Phase 2 contingency (10%),,Coastal & Marine,TBC,TBC,TBC,Mixed donors & GoN,Mixed donors & GoN,0.47,2027,2035,Phase 2 (Medium-term),Proposed,Unspecified,Coastal erosion & sea-level rise,,,
R080,RONAdapt II Pipeline (Future),"Development and Implementation of an Integrated Coastal Management Plan, including Strategic Seawall Construction",Multi-km seawall + nature-based protection works,,Coastal & Marine,TBC,TBC,TBC,"GCF/Adaptation Fund, ADB, World Bank","GCF/Adaptation Fund, ADB, World Bank",10.0,2035,2040,Phase 3 (Long-term),Proposed,Unspecified,Coastal erosion & sea-level rise,,,
R081,RONAdapt II Pipeline (Future),"Development and Implementation of an Integrated Coastal Management Plan, including Strategic Seawall Construction",Institutionalised O&M,,Coastal & Marine,TBC,TBC,TBC,"Government of Nauru, UNDP","Government of Nauru, UNDP",1.2,2035,2040,Phase 3 (Long-term),Proposed,Unspecified,Coastal erosion & sea-level rise,,,
R082,RONAdapt II Pipeline (Future),"Development and Implementation of an Integrated Coastal Management Plan, including Strategic Seawall Construction","Integrated ICM governance, policy mainstreaming",,Coastal & Marine,TBC,TBC,TBC,GCF/UNDP/UNEP,GCF/UNDP/UNEP,1.0,2035,2040,Phase 3 (Long-term),Proposed,Unspecified,Coastal erosion & sea-level rise,,,
R083,RONAdapt II Pipeline (Future),"Development and Implementation of an Integrated Coastal Management Plan, including Strategic Seawall Construction",Community-based adaptation,,Coastal & Marine,TBC,TBC,TBC,"SPC, SPREP, NGOs","SPC, SPREP, NGOs",0.6,2035,2040,Phase 3 (Long-term),Proposed,Unspecified,Coastal erosion & sea-level rise,,,
R084,RONAdapt II Pipeline (Future),"Development and Implementation of an Integrated Coastal Management Plan, including Strategic Seawall Construction","Advanced hazard modelling, forecasting & early warning linkages",,Coastal & Marine,TBC,TBC,TBC,"CREWS, WMO, UNDRR","CREWS, WMO, UNDRR",0.9,2035,2040,Phase 3 (Long-term),Proposed,Unspecified,Coastal erosion & sea-level rise,,,
R085,RONAdapt II Pipeline (Future),"Development and Implementation of an Integrated Coastal Management Plan, including Strategic Seawall Construction",Phase 3 contingency (10%),,Coastal & Marine,TBC,TBC,TBC,"Multilateral, bilateral & GoN","Multilateral, bilateral & GoN",1.37,2035,2040,Phase 3 (Long-term),Proposed,Unspecified,Coastal erosion & sea-level rise,,,
R086,RONAdapt II Pipeline (Future),Water Security Resilience through rainwater harvesting and Storage Systems for Public Institutions,New rainwater tank installation,,Water & Sanitation,TBC,TBC,TBC,"GCF, JICA, DFAT, MFAT","GCF, JICA, DFAT, MFAT",1.2,2025,2030,Phase 1 (Near-term),Proposed,Unspecified,Drought & water security,,,
R087,RONAdapt II Pipeline (Future),Water Security Resilience through rainwater harvesting and Storage Systems for Public Institutions,Rehabilitation of existing tanks & systems,,Water & Sanitation,TBC,TBC,TBC,"SPC, SPREP, UNICEF","SPC, SPREP, UNICEF",0.4,2025,2030,Phase 1 (Near-term),Proposed,Unspecified,Drought & water security,,,
R088,RONAdapt II Pipeline (Future),Water Security Resilience through rainwater harvesting and Storage Systems for Public Institutions,Filtration & treatment systems,,Water & Sanitation,TBC,TBC,TBC,"WHO, UNICEF","WHO, UNICEF",0.2,2025,2030,Phase 1 (Near-term),Proposed,Unspecified,Drought & water security,,,
R089,RONAdapt II Pipeline (Future),Water Security Resilience through rainwater harvesting and Storage Systems for Public Institutions,Capacity building & maintenance training,,Water & Sanitation,TBC,TBC,TBC,"SPREP, UNICEF","SPREP, UNICEF",0.1,2025,2030,Phase 1 (Near-term),Proposed,Unspecified,Drought & water security,,,
R090,RONAdapt II Pipeline (Future),Water Security Resilience through rainwater harvesting and Storage Systems for Public Institutions,Monitoring and Evaluation,,Water & Sanitation,TBC,TBC,TBC,"GCF, UNDP","GCF, UNDP",0.05,2025,2030,Phase 1 (Near-term),Proposed,Unspecified,Drought & water security,,,
R091,RONAdapt II Pipeline (Future),Water Security Resilience through rainwater harvesting and Storage Systems for Public Institutions,Phase 1 contingency,,Water & Sanitation,TBC,TBC,TBC,"Mixed donors, Government","Mixed donors, Government",0.05,2025,2030,Phase 1 (Near-term),Proposed,Unspecified,Drought & water security,,,
R092,RONAdapt II Pipeline (Future),Water Security Resilience through rainwater harvesting and Storage Systems for Public Institutions,Local tank production facility,,Water & Sanitation,TBC,TBC,TBC,"EU Green Deal, DFAT, MFAT","EU Green Deal, DFAT, MFAT",1.5,2027,2035,Phase 2 (Medium-term),Proposed,Unspecified,Drought & water security,,,
R093,RONAdapt II Pipeline (Future),Water Security Resilience through rainwater harvesting and Storage Systems for Public Institutions,Expansion of rainwater storage,,Water & Sanitation,TBC,TBC,TBC,"GCF, AF, JICA","GCF, AF, JICA",0.9,2027,2035,Phase 2 (Medium-term),Proposed,Unspecified,Drought & water security,,,
R094,RONAdapt II Pipeline (Future),Water Security Resilience through rainwater harvesting and Storage Systems for Public Institutions,Advanced filtration and water safety kits,,Water & Sanitation,TBC,TBC,TBC,"WHO, UNICEF","WHO, UNICEF",0.3,2027,2035,Phase 2 (Medium-term),Proposed,Unspecified,Drought & water security,,,
R095,RONAdapt II Pipeline (Future),Water Security Resilience through rainwater harvesting and Storage Systems for Public Institutions,PPP support for local supply chain,,Water & Sanitation,TBC,TBC,TBC,"SPC, SPREP, UNDP","SPC, SPREP, UNDP",0.2,2027,2035,Phase 2 (Medium-term),Proposed,Unspecified,Drought & water security,,,
R096,RONAdapt II Pipeline (Future),Water Security Resilience through rainwater harvesting and Storage Systems for Public Institutions,O&M training,,Water & Sanitation,TBC,TBC,TBC,"FAO, GIZ","FAO, GIZ",0.1,2027,2035,Phase 2 (Medium-term),Proposed,Unspecified,Drought & water security,,,
R097,RONAdapt II Pipeline (Future),Water Security Resilience through rainwater harvesting and Storage Systems for Public Institutions,Phase 2 contingency,,Water & Sanitation,TBC,TBC,TBC,"Multilateral, Bilateral, Government","Multilateral, Bilateral, Government",0.2,2027,2035,Phase 2 (Medium-term),Proposed,Unspecified,Drought & water security,,,
R098,RONAdapt II Pipeline (Future),Water Security Resilience through rainwater harvesting and Storage Systems for Public Institutions,Large-scale institutional storage upgrades,,Water & Sanitation,TBC,TBC,TBC,"GCF, World Bank, ADB","GCF, World Bank, ADB",2.5,2035,2040,Phase 3 (Long-term),Proposed,Unspecified,Drought & water security,,,
R099,RONAdapt II Pipeline (Future),Water Security Resilience through rainwater harvesting and Storage Systems for Public Institutions,Smart monitoring systems,,Water & Sanitation,TBC,TBC,TBC,"SPC, DFAT","SPC, DFAT",1.0,2035,2040,Phase 3 (Long-term),Proposed,Unspecified,Drought & water security,,,
